"Pair","NetProfit","Trades","WinRate","ProfitFactor","MaxDrawdown"
"AAVEUSD_PERP","-0,37","5347","48,91","0,8248","-1,93"
"ADAUSD_PERP","-18,32","1895","56,46","0,9534","-218,51"
"APEUSD_PERP","0","0","0","0","0"
"AVAXUSD_PERP","-1,42","5774","50,07","0,8746","-10,97"
"BCHUSD_PERP","-0,19","6577","48,65","0,7859","-0,99"
"BNBUSD_PERP","-0,10","6121","48,77","0,9158","-0,67"
"BTCUSD_PERP","-0,02","6251","45,13","0,6480","-0,09"
"DOGEUSD_PERP","212,22","257","53,31","1,3979","-142,61"
"DOTUSD_PERP","-3,21","6436","52,47","0,9431","-242,01"
"ETCUSD_PERP","-1,88","6683","50,85","0,8716","-11,96"
"ETHUSD_PERP","-0,04","6384","47,79","0,7180","-0,21"
"FILUSD_PERP","-4,82","6135","52,89","0,9345","-37,75"
"GALAUSD_PERP","0","0","0","0","0"
"ICXUSD_PERP","0","0","0","0","0"
"KNCUSD_PERP","0","0","0","0","0"
"LINKUSD_PERP","-2,30","6924","50,97","0,9044","-12,36"
"LTCUSD_PERP","-0,74","6274","49,09","0,7485","-3,90"
